class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Sericytochromatia	1	0	23	13	4	22	10	0	15	0	2	0	0	18	0	d_Bacteria;p_Cyanobacteria;c_Sericytochromatia
c_Bradymonadia	1	3	13	5	22	22	15	0	2	7	0	1	0	13	1	d_Bacteria;p_Myxococcota;c_Bradymonadia
c_Chlorobia	1	0	13	9	3	0	0	25	0	0	1	10	3	9	29	d_Bacteria;p_Bacteroidota;c_Chlorobia
c_Desulfobulbia	10	5	6	4	5	3	6	0	22	7	0	9	0	12	13	d_Bacteria;p_Desulfobacterota;c_Desulfobulbia
c_Thermoanaerobaculia	0	0	0	7	0	12	3	0	2	0	0	0	0	2	69	d_Bacteria;p_Acidobacteriota;c_Thermoanaerobaculia
c_DSWW01	5	12	1	1	2	0	3	1	4	19	0	41	0	0	3	d_Bacteria;p_Desulfobacterota;c_DSWW01
c_Desulfotomaculia	0	1	15	33	4	8	3	3	3	14	0	0	0	6	0	d_Bacteria;p_Firmicutes B;c_Desulfotomaculia
c_UBA1177	0	0	19	20	3	10	18	0	12	0	0	0	0	6	0	d_Bacteria;p_UBP6;c_UBA1177
c_Oligoflexia	0	0	11	6	5	3	6	0	4	0	16	4	3	18	4	d_Bacteria;p_Bdellovibrionota;c_Oligoflexia
c_Desulfarculia	2	0	9	20	3	10	13	0	4	0	0	0	0	16	0	d_Bacteria;p_Desulfobacterota;c_Desulfarculia
c_Thermodesulfovibrionia	0	21	0	0	2	0	2	21	0	5	25	0	0	0	0	d_Bacteria;p_Nitrospirota;c_Thermodesulfovibrionia
c_Limnochordia	2	0	30	6	6	8	7	2	10	3	0	0	0	2	0	d_Bacteria;p_Firmicutes G;c_Limnochordia
c_Dehalobacteriia	0	0	0	0	0	0	0	45	0	0	1	1	2	0	22	d_Bacteria;p_Firmicutes B;c_Dehalobacteriia
c_D2-FULL-39-29	0	0	7	9	1	30	6	0	5	0	0	0	0	13	0	d_Bacteria;p_Firestonebacteria;c_D2-FULL-39-29
c_Fimbriimonadia	0	0	17	0	1	17	3	0	27	0	0	0	0	5	0	d_Bacteria;p_Armatimonadota;c_Fimbriimonadia
c_Unclassified_p_Firmicutes B	0	0	0	0	0	0	0	35	0	0	20	4	7	1	2	d_Bacteria;p_Firmicutes B;c_Unclassified_p_Firmicutes B
c_UBA4738	0	0	7	11	0	24	4	0	1	0	0	0	0	10	11	d_Bacteria;p_Actinobacteriota;c_UBA4738
c_Methylomirabilia	0	0	2	6	2	5	5	0	9	7	0	0	0	10	21	d_Bacteria;p_Methylomirabilota;c_Methylomirabilia
c_Bdellovibrionia	1	0	11	4	8	5	3	0	8	1	0	1	0	23	0	d_Bacteria;p_Bdellovibrionota;c_Bdellovibrionia
c_Entotheonellia	0	0	12	6	6	17	10	0	8	0	0	0	0	6	0	d_Bacteria;p_Tectomicrobia;c_Entotheonellia
