genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Brevibacterium	12080.722	7134.0826	175.8791	0	609.3635	73.3312	107.7655	791.7372	20213.3192	721.0625	258.9159	105.3759	1066.9068	65.1594	594.462	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Brevibacteriaceae;g_Brevibacterium
g_Acidovorax	1850.0972	279.4254	25.7288	20.7591	145.7999	108.8358	0	41.9555	196.7658	94.9366	10.1031	39641.1595	690.1182	0	241.6624	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax
g_Unclassified_o_Campylobacterales	435.2041	308.7639	731.8013	239.1817	25165.6038	92.2198	1136.8655	340.4982	62.9735	17.0184	76.9895	698.9219	38.7061	13799.2407	117.5319	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales;g_Unclassified_o_Campylobacterales
g_Aquifex	97.3193	205.9394	7317.6181	8943.9416	1152.9248	8884.7626	7395.6667	150.3872	1924.5641	9.0845	3.7492	0.7671	1.91	6005.2727	1.8639	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales;f_Aquificaceae;g_Aquifex
g_Thioglobus	138.0847	1822.9131	8077.1479	10626.0542	1080.9829	7367.0803	4618.3541	15.3592	2705.4292	0	0.992	0.9763	0	3005.5116	0.0765	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PS1;f_Thioglobaceae;g_Thioglobus
g_Robertmurraya	188.7249	1249.1495	2825.2433	10896.9121	905.8097	2140.7883	18656.1202	18.6341	421.1994	0	9.0541	0	195.7579	1854.8801	2.492	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-18226;g_Robertmurraya
g_Paraglaciecola	258.5978	342.2032	6761.7347	6763.4026	782.8998	8683.0114	4073.3368	5.7629	4087.706	136.1815	2.2485	1.0715	8.4918	5357.906	1.4526	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Alteromonadaceae;g_Paraglaciecola
g_Unclassified_c_Bacilli	562.7177	520.203	3051.4187	2816.1189	771.8031	2615.8549	2248.6831	2071.5687	1503.3695	5107.8321	767.4363	3527.681	5919.6152	1971.7688	1153.9528	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli;g_Unclassified_c_Bacilli
g_Phenylobacterium	391.5619	0	0	28.335	43.0481	196.2784	406.0973	15.2094	57.9997	102.794	6.3137	32538.8043	174.983	5.0604	41.7132	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Phenylobacterium
g_Pulveribacter	909.0196	56.3883	36.6258	0	39.3457	0	28.9453	16.7078	115.2976	53.1021	5.0012	30984.697	236.0596	0	102.5788	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pulveribacter
