class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Sulfobacillia	8.5962	0	258.0374	187.9444	14.0798	198.54	86.4862	0	110.6182	0	0	0	0	104.2379	0.0362	d_Bacteria;p_Firmicutes E;c_Sulfobacillia
c_Gracilibacteria	0	0	401.9907	0	0	96.8006	189.3728	0	0	0	0	2.8735	57.6895	183.6007	6.0229	d_Bacteria;p_Patescibacteria;c_Gracilibacteria
c_SURF-5	0	0	0	0	0	620.8372	261.8581	0	0	0	0	0	0	0	0	d_Bacteria;p_Abyssubacteria;c_SURF-5
c_GWE2-31-10	0	296.3153	48.7689	0	148.26	0	303.5653	0	0	0	2.072	0	0	39.4018	0	d_Bacteria;p_Spirochaetota;c_GWE2-31-10
c_UBA4738	0	0	80.708	169.8717	0	280.6113	147.6419	0	41.7574	0	0	0	0	93.1519	2.4069	d_Bacteria;p_Actinobacteriota;c_UBA4738
c_DSWW01	32.7236	428.4909	17.6307	20.0328	21.4394	0	65.8462	3.083	36.279	118.2578	0	49.4877	0	0	0.5795	d_Bacteria;p_Desulfobacterota;c_DSWW01
c_UBA2235	0	0	0	0	28.9516	468.4795	59.2789	0	0	0	0	0	0	230.8261	0	d_Bacteria;p_Chloroflexota;c_UBA2235
c_Unclassified_p_Fibrobacterota	0	113.9321	281.2716	63.9186	136.813	0	140.0636	19.6741	0	0	4.7801	0	0	0	0	d_Bacteria;p_Fibrobacterota;c_Unclassified_p_Fibrobacterota
c_Halanaerobiia	8.1188	0	0	0	57.2272	382.6167	0	180.5462	72.6286	0	33.9166	0.9145	0	0	3.2842	d_Bacteria;p_Firmicutes F;c_Halanaerobiia
c_GCA-003054495	14.163	0	267.0749	260.1103	0	37.5375	0	0	98.1364	0	0	0	0	61.6507	0	d_Bacteria;p_Firmicutes B;c_GCA-003054495
c_SpSt-956	0	0	0	0	241.1049	97.5359	370.2502	0	0	0	4.212	0	0	0	0	d_Bacteria;p_Eremiobacterota;c_SpSt-956
c_Desulfitobacteriia	0	0	109.9516	71.9502	115.5031	216.3523	0	12.685	0	0	45.0187	0	14.1166	88.8331	6.6238	d_Bacteria;p_Firmicutes B;c_Desulfitobacteriia
