KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1876	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various antibiotics
ko01040	41.4879	15.5544	26.9329	29.2326	4.6055	37.8952	32.596	0	24.8814	0	0	0	0	41.0264	63.242	Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids
ko01053	52.2177	13.9133	0	0	2.0613	0	0	5.1506	18.4778	52.9708	54.6396	32.5145	25.4234	0	26.764	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides
ko01501	24.6956	0	0	0	0	0	0	0	0	0	52.9404	45.4758	65.9599	0	67.0274	Human Diseases; Drug resistance: antimicrobial; beta-Lactam resistance
ko01502	153.9673	0	0	0	0	0	0	0	0	0	0	197.2121	346.4628	0	260.6189	Human Diseases; Drug resistance: antimicrobial; Vancomycin resistance
ko01503	26.4317	0	8.4031	0	0	0	15.9631	74.9826	0	0	210.9137	85.4409	140.4115	0	50.3785	Human Diseases; Drug resistance: antimicrobial; Cationic antimicrobial peptide (CAMP) resistance
ko01521	9.6088	38.9415	19.0229	5.8366	14.9087	2.3894	31.7928	0	8.1622	10.4757	0	0.3052	0	13.0181	0.0568	Human Diseases; Drug resistance: antineoplastic; EGFR tyrosine kinase inhibitor resistance
ko01522	16.1167	10.0136	10.1277	9.4894	18.5444	9.0041	10.7866	21.3396	7.9885	24.8232	24.9921	22.877	23.0404	13.6524	20.9111	Human Diseases; Drug resistance: antineoplastic; Endocrine resistance
ko01523	119.2161	41.0918	48.6789	36.7566	105.8275	24.3754	66.9509	131.9055	38.0897	114.3915	92.8367	108.216	144.552	65.389	126.3931	Human Diseases; Drug resistance: antineoplastic; Antifolate resistance
ko01524	26.683	19.0368	13.8361	5.5877	47.3719	18.0644	35.956	16.8494	9.0367	35.3376	21.6285	0	20.2456	21.5912	65.3025	Human Diseases; Drug resistance: antineoplastic; Platinum drug resistance
ko02010	77.592	20.9853	8.2578	0	43.9083	2.9235	14.3178	126.5437	0	68.8796	203.7219	131.2809	137.8908	19.4061	167.8022	Environmental Information Processing; Membrane transport; ABC transporters
ko02020	45.6525	13.5198	4.8568	1.5985	39.9629	2.0285	11.7273	61.8849	11.8891	60.2094	162.3866	108.8544	90.5335	15.516	84.5022	Environmental Information Processing; Signal transduction; Two-component system
ko02024	89.8913	28.713	0	0	48.0898	0	13.778	136.0802	20.9333	133.4889	130.8586	188.0169	132.4065	20.1299	268.4064	Cellular Processes; Cellular community - prokaryotes; Quorum sensing
ko02026	58.764	0	0	0	0	0	0	109.5598	18.8457	0	234.4545	112.4891	106.9966	0	91.1575	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli
ko02030	46.7091	0	0	0	205.1788	0	0	173.33	14.0369	16.5321	407.5581	343.7472	147.2276	86.8476	175.9343	Cellular Processes; Cell motility; Bacterial chemotaxis
ko02040	50.9293	0	0	0	482.6969	0	40.5822	105.4916	12.0897	19.461	433.3385	273.2756	170.5443	148.2239	85.4598	Cellular Processes; Cell motility; Flagellar assembly
ko02060	80.699	0	0	0	0	0	39.0364	512.1223	31.4388	245.8186	369.9042	122.9514	346.9838	0	74.7384	Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS)
ko03008	14.9529	3.6113	8.0213	13.4911	18.495	9.4521	7.4372	0	7.3767	12.667	0	17.7567	0	10.9602	0	Genetic Information Processing; Translation; Ribosome biogenesis in eukaryotes
ko03010	435.8061	147.5745	42.7578	21.8466	226.8992	22.2252	107.5808	339.258	146.6471	752.1531	136.6298	411.5837	346.9753	117.4559	272.9847	Genetic Information Processing; Translation; Ribosome
ko03013	1.4493	3.1184	14.4177	12.8283	10.7094	10.8526	10.4091	0.1248	12.721	2.3725	0.0854	0.0579	0	13.8677	0.0668	Genetic Information Processing; Translation; Nucleocytoplasmic transport
ko03015	4.0922	9.2686	25.524	24.4441	5.3695	22.1998	6.8674	0	16.0621	0	0.103	0.1161	0	10.9462	0	Genetic Information Processing; Translation; mRNA surveillance pathway
ko03018	125.2655	56.9559	42.2682	16.5966	152.2034	13.7468	33.735	170.598	40.7505	294.2263	119.3983	167.9531	189.3455	57.4351	116.9381	Genetic Information Processing; Folding, sorting and degradation; RNA degradation
ko03022	2.3994	1.0149	0.1196	0	0.7414	0	0.2055	3.2521	1.7574	10.2257	0	0	0	0.1626	6.2233	Genetic Information Processing; Transcription; Basal transcription factors
ko03030	168.8314	76.5671	29.1898	1.8389	182.6463	6.1478	38.2302	269.8029	66.7487	290.0081	213.3921	237.465	304.1204	78.4535	231.7754	Genetic Information Processing; Replication and repair; DNA replication
ko03040	0.5305	4.1612	14.7816	16.3007	5.4478	11.9408	7.6851	0	11.9346	3.5298	0	0	0	12.4096	0	Genetic Information Processing; Transcription; Spliceosome
ko03050	8.3346	7.7281	27.3222	23.6987	12.4987	28.25	24.4089	1.805	14.6326	16.2099	0	0	0	15.7061	0	Genetic Information Processing; Folding, sorting and degradation; Proteasome
ko03060	291.9096	97.5813	35.3977	1.399	342.9297	9.2494	54.1898	419.5339	89.2986	545.5643	297.4275	352.2709	417.9979	119.9465	315.5432	Genetic Information Processing; Folding, sorting and degradation; Protein export
ko03070	143.699	0	0	0	0	0	0	177.2874	0	288.0554	415.0797	312.2177	249.285	0	210.4051	Environmental Information Processing; Membrane transport; Bacterial secretion system
ko03250	15.4982	8.1983	6.3965	8.2414	2.9564	6.6445	2.6565	0	13.1522	20.9658	0	0	0	1.6443	0	Genetic Information Processing; Information processing in viruses; Viral life cycle - HIV-1
ko03320	67.7533	58.5522	45.683	57.6798	33.5278	58.057	55.347	0	47.3063	95.1405	0	60.5669	0	54.6159	75.5856	Organismal Systems; Endocrine system; PPAR signaling pathway
ko03410	213.7669	59.8254	34.7692	10.6272	158.5902	18.3609	38.8698	297.5225	57.6729	307.9992	259.5228	264.4267	300.9982	91.465	216.526	Genetic Information Processing; Replication and repair; Base excision repair
ko03420	91.883	26.7916	19.2361	0.4432	185.2579	2.6624	15.9334	230.68	19.5984	117.5274	172.502	128.3153	220.7597	80.0373	119.6647	Genetic Information Processing; Replication and repair; Nucleotide excision repair
ko03430	231.5655	99.5758	45.3634	1.3353	254.0299	6.6904	44.0876	470.3988	93.8198	376.6235	358.0575	353.6432	455.3066	117.3587	309.1843	Genetic Information Processing; Replication and repair; Mismatch repair
ko03440	191.1951	76.3738	32.3162	0.6503	216.4804	6.7469	39.7923	314.1226	74.7732	373.0327	237.7958	288.3208	310.1681	91.1834	244.4909	Genetic Information Processing; Replication and repair; Homologous recombination
ko03450	22.4104	1.2593	0	0	0	0	0	4.742	0	0.1491	0	0	0	0	19.4838	Genetic Information Processing; Replication and repair; Non-homologous end-joining
ko03460	0	0	8.2157	4.9712	0.7885	1.6616	5.2872	0	4.6859	0	0	0	0	5.9875	0	Genetic Information Processing; Replication and repair; Fanconi anemia pathway
ko04010	3.0788	14.6496	20.8889	16.174	5.2521	13.9067	16.1488	0	6.5654	1.4566	0	0.0489	0	9.7831	0.0367	Environmental Information Processing; Signal transduction; MAPK signaling pathway
ko04011	12.2576	0	0	0	21.035	0	1.2775	0	3.8651	0	0	0	0	0	0	Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast
ko04012	6.4231	25.2623	4.4996	0.7765	7.4201	0.6839	9.7413	0	1.284	9.7259	0	0	0	3.5943	0.0442	Environmental Information Processing; Signal transduction; ErbB signaling pathway
ko04013	12.5495	9.8668	5.2119	7.3546	18.1573	4.9638	10.091	0	7.1262	13.1853	0	0	16.7685	11.0814	13.3276	Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly
