order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Acetobacterales	71.054	159.7963	130.1454	724.4228	433.0665	635.6544	643.0942	5.3058	137.8285	184.0443	2.0838	357.0247	11.7476	453.2438	235.6595	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Acetobacterales
o_Rickettsiales	144.7731	1085.6618	397.6717	39.8449	418.5486	66.3547	1146.6186	88.7148	267.0026	211.849	36.6762	1.445	8.0617	131.5386	3.9538	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales
o_Nanopelagicales	720.7726	57.9964	492.2031	408.2618	70.7309	284.7643	177.5252	26.7589	483.3294	21.3807	0.3985	5.3028	60.6281	819.2218	234.8953	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Nanopelagicales
o_Caldilineales	85.8198	369.0788	226.4207	673.7033	146.6204	1031.3712	295.3616	0	188.0889	124.2792	0	0	0	599.7995	0	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Caldilineales
o_RFN20	0	0	62.6773	165.5182	67.6976	142.6627	243.9792	1614.4637	0	0	368.4299	8.3021	988.9329	4.2427	22.943	d_Bacteria;p_Firmicutes;c_Bacilli;o_RFN20
o_Staphylococcales	253.1815	361.7948	542.5032	312.2734	278.6894	563.1326	228.4136	0	350.032	141.9215	19.2545	1.3527	77.4522	286.9353	179.6412	d_Bacteria;p_Firmicutes;c_Bacilli;o_Staphylococcales
o_Synergistales	33.5491	35.4963	321.6628	496.591	221.1552	894.231	648.6189	68.6508	99.4301	12.3052	44.6493	2.8558	6.1867	520.3113	9.4974	d_Bacteria;p_Synergistota;c_Synergistia;o_Synergistales
o_Bacillales H	0	20.2533	645.4485	183.058	140.4544	397.1834	434.5396	51.3299	81.3992	451.5817	111.7001	262.0394	187.0428	428.7103	14.6635	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales H
o_Unclassified_c_Polyangia	143.8011	633.6128	294.4026	607.2582	154.5085	382.314	572.9187	0	262.1959	66.9465	1.4782	0	0	210.0926	0.3854	d_Bacteria;p_Myxococcota;c_Polyangia;o_Unclassified_c_Polyangia
o_Kapabacteriales	0	40.108	491.0305	610.8408	163.4667	555.7729	439.5216	0	143.7507	0	9.6043	4.5183	17.9863	834.3781	3.569	d_Bacteria;p_Bacteroidota;c_Kapabacteria;o_Kapabacteriales
o_Gemmatimonadales	93.5736	241.6299	605.643	701.0867	36.1774	437.4537	415.6341	0	121.9277	64.8496	0	8.6088	0	544.145	6.8528	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes;o_Gemmatimonadales
