family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Streptococcaceae	1152.9979	19097.858	5673.3151	5215.5123	1550.7129	4092.4249	2111.4169	370.6764	3033.0499	3289.7309	21.7394	52.6084	451.9737	3344.9719	132.2598	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae
f_Brevibacteriaceae	13456.5592	7897.7363	202.9972	0	633.3903	73.3312	107.7655	883.9297	21633.2039	826.1806	282.1662	113.5107	1292.2152	139.3482	733.3457	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Brevibacteriaceae
f_Pasteurellaceae	489.3653	1471.7575	2305.155	1774.4423	706.9265	822.4537	27214.1365	877.0463	1428.2417	343.1827	5480.3449	2749.6661	498.7898	829.2875	28.3631	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pasteurellaceae
f_DSM-18226	188.7249	1249.1495	4850.4391	11812.1573	1024.1919	2176.3088	18875.1335	27.0603	457.1639	0	11.8313	0	195.7579	2421.5693	32.6132	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-18226
f_Unclassified_o_Campylobacterales	435.2041	308.7639	731.8013	239.1817	25165.6038	92.2198	1136.8655	340.4982	62.9735	17.0184	76.9895	698.9219	38.7061	13799.2407	117.5319	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales
f_Aquificaceae	97.3193	205.9394	7317.6181	8943.9416	1152.9248	8884.7626	7395.6667	150.3872	1924.5641	9.0845	3.7492	0.7671	1.91	6005.2727	1.8639	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales;f_Aquificaceae
f_Weeksellaceae	1223.4763	30.9676	291.9405	284.3274	9.818	164.1294	82.918	1136.2799	0	1.9399	61.7774	35304.3212	250.7606	43.0567	123.7675	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae
f_Unclassified_c_Bacilli	562.7177	520.203	3051.4187	2816.1189	771.8031	2615.8549	2248.6831	2071.5687	1503.3695	5107.8321	767.4363	3527.681	5919.6152	1971.7688	1153.9528	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli
f_Bacteriovoracaceae	245.6659	2491.2006	6697.3191	6617.6013	1569.2804	5847.6872	4220.9161	14.8423	1348.3516	190.3724	0	2.3523	40.4516	5070.8084	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales;f_Bacteriovoracaceae
f_Campylobacteraceae	153.5721	25.227	641.5622	315.7055	17527.6554	169.5774	699.1799	99.3884	46.1268	0	31.456	203.4946	8.7346	13184.4338	54.677	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Campylobacteraceae
f_Unclassified_c_Bacteroidia	227.6729	1917.8169	5127.9022	5864.3109	1149.5774	5590.0431	4034.2713	254.2303	1912.3105	160.5731	45.3091	2716.8837	149.7007	3014.0604	156.2225	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia;f_Unclassified_c_Bacteroidia
f_Bacteroidaceae	315.3148	2953.8411	4060.7788	6942.0087	1373.338	5148.4908	3534.7826	161.9974	2208.6941	294.1653	449.4421	21.2939	187.596	3717.4614	12.2618	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae
f_UBA1096	182.8216	431.1568	5561.5675	4563.434	1228.9495	6787.79	3793.3337	0	2461.9113	103.0118	6.9231	18.0231	72.8909	3730.6462	1.4217	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales;f_UBA1096
f_Nocardioidaceae	3014.0753	3028.794	2123.1016	3512.6353	675.571	1769.9194	1362.2847	130.7071	1026.6789	356.6952	11.7428	6884.3623	264.9304	1562.33	2059.4083	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae
f_Moraxellaceae	1055.3226	409.0199	3898.4967	4897.9742	1017.107	5140.434	4022.082	1140.8943	669.329	109.036	275.6843	750.904	1418.1629	1277.6993	685.0719	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae
f_Tissierellaceae	276.5468	659.7456	4064.8995	2688.918	2248.3711	4619.7465	4076.8382	156.3171	1804.5031	23.8532	6.1095	14.7554	114.0403	2053.1281	716.4873	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Tissierellaceae
f_NAC60-12	4234.5838	234.0324	776.4028	697.1919	579.6234	1241.9213	652.7547	0	8676.5926	0	1.9613	28.595	5.9796	5941.8315	2.0996	d_Bacteria;p_SAR324;c_SAR324;o_SAR324;f_NAC60-12
f_Unclassified_p_Myxococcota	163.8502	946.7377	3916.3695	4672.017	644.4824	4835.3673	2766.4022	11.7826	1068.3255	278.1648	1.0036	0.8157	20.5874	3534.6243	0.5176	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota;o_Unclassified_p_Myxococcota;f_Unclassified_p_Myxococcota
f_Pseudonocardiaceae	1056.5769	1969.1703	3315.4267	2541.3577	662.9385	2729.1183	1944.2704	50.7425	1592.7958	985.5409	4.198	91.4408	109.6927	2745.1271	363.8634	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Pseudonocardiaceae
f_Nostocaceae	480.5893	1014.0505	2896.9435	4480.842	395.411	3553.9446	1482.4318	20.5476	601.3224	77.3741	3.1887	206.2817	17.7373	2320.4877	31.4463	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Nostocaceae
f_Oleiphilaceae	86.699	728.8686	1908.4678	3426.601	760.576	3783.3222	1917.7214	67.8387	2259.3465	35.7513	11.2205	94.9639	23.2682	2156.5978	19.4224	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Oleiphilaceae
f_Unclassified_o_Burkholderiales	259.3005	0	1962.8908	2039.4399	446.3749	1731.0326	1335.3239	25.3746	877.9219	1.782	42.9736	6467.3201	77.7601	1293.3913	408.4975	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Unclassified_o_Burkholderiales
f_Unclassified_p_Actinobacteriota	2183.51	3250.0599	1160.4148	1764.6092	787.5379	947.1759	1035.9567	160.3087	851.9609	833.1	26.2792	379.4235	413.6109	469.2454	2040.169	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota;f_Unclassified_p_Actinobacteriota
f_Unclassified_o_Cyanobacteriales	12.5061	209.1299	2344.6174	2612.9568	485.9095	4684.186	2454.0658	9.317	694.1084	0	2.1234	2.5847	0	2158.2161	3.6117	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Unclassified_o_Cyanobacteriales
f_Myxococcaceae	138.2155	1455.7581	3529.0584	2007.306	741.5601	2739.0781	1655.222	20.803	1139.3279	460.0368	15.1512	93.2115	0	1421.6469	3.358	d_Bacteria;p_Myxococcota;c_Myxococcia;o_Myxococcales;f_Myxococcaceae
f_Shewanellaceae	23.3424	456.9408	2373.661	2743.5526	459.0043	3474.9417	1672.4347	21.8955	723.0227	0	270.0078	6.8608	11.541	2077.8712	0.4344	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Shewanellaceae
f_Micromonosporaceae	1213.2331	1754.211	2048.1328	1468.2097	631.0603	1320.7688	1879.1361	55.2212	802.8248	606.2556	2.8614	59.8897	23.0578	1356.7044	322.9121	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Micromonosporaceae
f_Hyphomonadaceae	109.2305	72.4716	1883.6445	1344.8587	867.4786	3025.5187	903.3562	0	2622.2776	0	1.9302	132.2888	0	1643.0599	0.6758	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Hyphomonadaceae
f_Cycloclasticaceae	25.6553	0	1923.9443	3696.0262	316.9524	2790.6686	1300.6492	12.2963	1026.1914	0	4.4813	0	72.5239	1246.7929	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Methylococcales;f_Cycloclasticaceae
f_Aerococcaceae	170.9268	0	178.0976	0	146.4902	26.9992	713.5555	292.5002	188.737	582.4431	49.1071	116.7255	428.9763	9.3108	9139.6655	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae
f_Halomonadaceae	106.0868	269.3997	2383.4175	2900.018	564.3986	2900.5927	900.1376	4.1633	481.5284	81.5423	1.4809	117.6364	38.4944	1121.0952	157.0825	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Halomonadaceae
