order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_SJA-28	0	0	8	16	3	8	3	0	6	0	0	0	0	22	0	d_Bacteria;p_Bacteroidota;c_Ignavibacteria;o_SJA-28
o_HGW-17	1	0	3	6	0	26	10	0	1	0	0	0	0	19	0	d_Bacteria;p_Myxococcota;c_Polyangia;o_HGW-17
o_Bdellovibrionales	1	0	11	4	8	5	3	0	8	1	0	1	0	23	0	d_Bacteria;p_Bdellovibrionota;c_Bdellovibrionia;o_Bdellovibrionales
o_Fermentibacterales	1	0	3	9	1	23	2	0	12	0	0	0	0	14	0	d_Bacteria;p_Fermentibacterota;c_Fermentibacteria;o_Fermentibacterales
o_Unclassified_c_Anaerolineae	2	0	6	10	1	11	3	0	13	0	0	0	2	16	1	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Unclassified_c_Anaerolineae
o_JACCYU01	0	2	17	13	3	25	3	0	1	0	0	0	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_JACCYU01
o_Unclassified_p_Nitrospinota	0	0	14	10	1	18	6	0	6	0	0	0	0	9	0	d_Bacteria;p_Nitrospinota;c_Unclassified_p_Nitrospinota;o_Unclassified_p_Nitrospinota
o_RFP12	0	0	2	0	0	19	15	0	1	0	0	21	0	1	4	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae;o_RFP12
o_Gloeobacterales	0	0	10	17	0	4	1	0	3	0	0	14	0	14	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Gloeobacterales
o_UBA2400	0	0	1	36	0	2	0	0	23	0	0	0	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_UBA2400
o_UBA7694	0	0	14	6	2	9	10	0	0	0	2	0	0	18	0	d_Bacteria;p_Cyanobacteria;c_Sericytochromatia;o_UBA7694
o_Bin18	2	0	3	15	2	23	4	0	4	0	0	0	1	7	0	d_Bacteria;p_Desulfobacterota B;c_Binatia;o_Bin18
o_UBA11654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_UBA11654
o_Thermoanaerobaculales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	d_Bacteria;p_Acidobacteriota;c_Thermoanaerobaculia;o_Thermoanaerobaculales
o_Nitriliruptorales	0	0	2	4	0	5	3	0	1	0	0	0	0	0	44	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Nitriliruptorales
o_Geminicoccales	5	0	5	1	1	4	2	0	2	0	0	35	0	1	3	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Geminicoccales
o_Unclassified_c_Negativicutes	0	0	0	0	0	0	2	1	0	0	40	13	1	1	0	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_Unclassified_c_Negativicutes
o_WVXJ01	3	10	0	0	3	1	3	0	3	34	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_CAIYQO01;o_WVXJ01
