#ID	ADU	JUN
Bacteria.Verrucomicrobiota.Verrucomicrobiae.Pedosphaerales.UBA1096.UBA1096.UBA1096_sp002684915	1085.80396	1035.1829
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.Kocuria_carniphila	259.5665	1747.51514
Bacteria.SAR324.SAR324.SAR324.NAC60_12.Arctic96AD_7.Arctic96AD_7_sp002685535	972.02496	816.8451
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_amycolatum	1974.22716	317.58006
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.unclassified_Clostridium	1007.59316	114.98368
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Mobiluncus.unclassified_Mobiluncus	308.24204	734.90292
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.unclassified_Propionibacteriaceae.unclassified_Propionibacteriaceae	605.35808	630.31138
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Flavobacterium.Flavobacterium_sp011751075	682.9731800000001	1133.34484
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Kluyvera.Kluyvera_georgiana	611.32182	1374.6138999999998
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_H.Helicobacter_H_anseris	57.90954000000001	1524.0466000000001
Bacteria.Firmicutes_A.Clostridia.Tissierellales.Tissierellaceae.Tissierella_B.Tissierella_B_creatinini	886.86014	925.65312
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Pasteurellaceae.unclassified_Pasteurellaceae.unclassified_Pasteurellaceae	1083.8584799999999	156.63128
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Alteromonadaceae.Pseudidiomarina.Pseudidiomarina_aestuarii_A	908.01286	788.13406
Bacteria.Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota	760.1273	883.37474
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Cellulosilyticaceae.Epulopiscium_C.Epulopiscium_C_sp002007315	809.09018	772.18462
Bacteria.Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota	407.40382	917.7512400000002
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_sp000799075	1335.2028400000002	21.9304
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermatophilaceae.unclassified_Dermatophilaceae.unclassified_Dermatophilaceae	124.48396	1431.92272
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Cutibacterium.unclassified_Cutibacterium	1038.52558	560.6694600000001
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_pelargi	859.13318	288.76548
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Aeromonadaceae.Aeromonas.unclassified_Aeromonas	699.51404	727.3323999999999
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Pasteurellaceae.Gallibacterium.unclassified_Gallibacterium	947.75612	136.16828
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Galactobacter.unclassified_Galactobacter	1450.45936	75.08488
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Cellulosilyticaceae.Epulopiscium_D.Epulopiscium_D_sp002007365	700.6712	630.25662
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides_sp002471185	623.64522	678.37158
