#ID	domain	phylum	class	order	family	genus	species
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_accolens	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_accolens
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.unclassified_Campylobacterales.unclassified_Campylobacterales.unclassified_Campylobacterales	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__unclassified_Campylobacterales	g__unclassified_Campylobacterales	s__unclassified_Campylobacterales
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Luteimonas.Luteimonas_sp016615955	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas	s__Luteimonas_sp016615955
Bacteria.Firmicutes.Bacilli.unclassified_Bacilli.unclassified_Bacilli.unclassified_Bacilli.unclassified_Bacilli	d__Bacteria	p__Firmicutes	c__Bacilli	o__unclassified_Bacilli	f__unclassified_Bacilli	g__unclassified_Bacilli	s__unclassified_Bacilli
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Gallilactobacillus.Gallilactobacillus_intestinavium	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Gallilactobacillus	s__Gallilactobacillus_intestinavium
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_somerae	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium_A	s__Cetobacterium_A_somerae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Arthrobacter_D.Arthrobacter_D_sp002929295	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_D	s__Arthrobacter_D_sp002929295
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.unclassified_Actinomycetaceae.unclassified_Actinomycetaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__unclassified_Actinomycetaceae	s__unclassified_Actinomycetaceae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Brevibacteriaceae.Brevibacterium.unclassified_Brevibacterium	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__unclassified_Brevibacterium
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_sp000498355	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium_sp000498355
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.unclassified_Micrococcaceae.unclassified_Micrococcaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__unclassified_Micrococcaceae	s__unclassified_Micrococcaceae
Bacteria.Aquificota.Aquificae.Aquificales.Aquificaceae.Aquifex.Aquifex_sp003978875	d__Bacteria	p__Aquificota	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Aquifex	s__Aquifex_sp003978875
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus_sp000187445	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_sp000187445
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.CCUG_7971.unclassified_CCUG_7971	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__CCUG_7971	s__unclassified_CCUG_7971
Bacteria.Proteobacteria.Gammaproteobacteria.PS1.Thioglobaceae.Thioglobus.Thioglobus_sp900180385	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PS1	f__Thioglobaceae	g__Thioglobus	s__Thioglobus_sp900180385
Bacteria.Firmicutes.Bacilli.Bacillales_B.DSM_18226.Robertmurraya.Robertmurraya_yapensis	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM_18226	g__Robertmurraya	s__Robertmurraya_yapensis
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.unclassified_Microbacteriaceae.unclassified_Microbacteriaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__unclassified_Microbacteriaceae	s__unclassified_Microbacteriaceae
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.unclassified_Paraclostridium	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__unclassified_Paraclostridium
Bacteria.Bacteroidota.Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__unclassified_Bacteroidia	f__unclassified_Bacteroidia	g__unclassified_Bacteroidia	s__unclassified_Bacteroidia
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.unclassified_Fusobacteriaceae.unclassified_Fusobacteriaceae	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__unclassified_Fusobacteriaceae	s__unclassified_Fusobacteriaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Aeromonadaceae.Aeromonas.Aeromonas_cavernicola	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_cavernicola
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_sp905216205	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium_A	s__Cetobacterium_A_sp905216205
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_amycolatum_A	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_amycolatum_A
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Plesiomonas.Plesiomonas_shigelloides	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Plesiomonas	s__Plesiomonas_shigelloides
Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Sedimenticolaceae.QGON01.QGON01_sp003660235	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__QGON01	s__QGON01_sp003660235
Bacteria.Bdellovibrionota.Bacteriovoracia.Bacteriovoracales.Bacteriovoracaceae.DB6_IX.DB6_IX_sp002903145	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__DB6_IX	s__DB6_IX_sp002903145
