genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Alcanivorax	1013.6866	54.9696	27712.045	30684.4102	5435.2682	28941.0853	19316.0138	1.2537	11710.8698	0	19.4593	28.6169	209.7685	22126.3182	7.4649	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae;g_Alcanivorax
g_Kocuria	105074.6057	6328.631	68.7466	34.5849	242.8432	230.0083	166.8843	8023.4481	913.7675	7786.4734	712.8095	8510.4659	4852.8706	69.1731	2380.1232	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria
g_Paenibacillus O	11070.0286	55029.1286	6334.8793	573.1676	22043.9035	1303.9106	22324.7185	837.9185	4581.6694	9935.2115	138.4258	216.097	660.1281	4336.4836	45.2266	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae;g_Paenibacillus O
g_Unclassified_f_Burkholderiaceae	4238.7147	293.7258	349.6726	333.4216	294.6515	252.0975	805.9828	330.0177	842.6362	299.5466	43.1731	115911.9672	1673.4774	368.698	2098.4246	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Unclassified_f_Burkholderiaceae
g_Vibrio	187.314	146.3894	22229.554	30529.7367	4595.1108	27623.4201	13468.8655	1.7509	3903.431	0	79.1415	75.3806	124.842	21566.661	3.5897	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Vibrio
g_TAE3-ERU5	32814.4161	19349.3374	447.2577	0	1045.5611	301.4637	3911.1405	768.7131	32506.0811	12415.874	121.5537	1114.022	11733.0043	322.3301	2452.3116	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5
g_Giesbergeria	3680.5805	59.5993	6.3344	0	80.4784	0	28.4752	171.1715	633.0642	109.5852	22.105	104784.6156	474.7044	8.427	672.6247	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria
g_Ancylomarina A	255.611	0	21195.8798	23569.6976	4007.7798	22326.8461	12603.6295	0	4092.5776	0	38.373	13.6143	223.1746	17432.3173	8.0091	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae;g_Ancylomarina A
g_Unclassified_f_Enterobacteriaceae	234.5108	40.1286	16.3405	114.1772	108.3818	260.5799	1423.3011	8682.4551	1127.9134	232.7476	61247.1079	1286.9924	30230.3783	339.7746	381.919	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Unclassified_f_Enterobacteriaceae
g_Unclassified_f_Vibrionaceae	1464.9546	187.136	13705.4472	16221.6321	3888.9868	14800.8701	10712.7868	3312.3361	8345.3363	24.8704	728.3163	56.7797	5255.7845	14045.1273	4.2192	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Unclassified_f_Vibrionaceae
g_Methylocystis	180.2973	0	16933.8088	19261.3396	3137.8664	17256.2278	9118.081	2.0542	5267.5802	4.4311	8.6503	35.5433	70.4905	13419.62	10.8209	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Methylocystis
g_Clostridium	900.0933	50.9371	942.3566	0	36.5239	0	664.5469	52063.7218	23.1091	17.7933	10329.6528	738.0957	12454.9588	595.2736	1594.5946	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium
g_Stenotrophomonas	9563.6421	61.2439	44.5878	4.3927	171.4802	6.9213	31.1226	671.4397	293.9467	102.6697	30.0636	3168.3335	15613.6791	11.2365	49789.8807	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas
g_Knoellia	66362.8298	3195.1458	59.0902	24.5388	258.1229	66.0207	95.6698	4718.3273	148.7725	543.8755	131.0221	101.9369	1329.4158	0	839.8835	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Knoellia
g_Brevundimonas	2216.3441	138.0717	206.4624	15.7795	113.2797	40.9467	115.8563	259.9111	86.362	173.3083	35.9745	57255.531	2392.8689	146.3541	4498.2735	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas
g_Boudabousia	6133.1065	4476.9321	83.8759	0	423.2421	232.9741	707.9647	451.92	3518.3664	10391.4297	338.7054	2969.1638	16701.3638	163.8876	15330.0919	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Boudabousia
