order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_RFN20	0	0	150.1545	412.2748	110.3055	356.9814	602.2736	1777.7475	0	0	400.2458	9.4342	1108.5979	8.4676	24.6478	d_Bacteria;p_Firmicutes;c_Bacilli;o_RFN20
o_Azospirillales	77.7251	256.4963	524.0532	763.3744	311.4539	991.0488	683.129	7.5266	471.8503	402.3827	3.9787	58.0265	26.2052	377.7195	3.4162	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Azospirillales
o_UBA9042	80.4122	1194.9846	698.79	643.7627	462.1179	688.8007	416.3803	27.4167	98.2991	50.9818	0	0	0	527.1067	0.9266	d_Bacteria;p_Myxococcota;c_UBA9042;o_UBA9042
o_Christensenellales	38.876	337.8623	739.2732	512.1179	21.1485	825.528	294.8085	38.1764	40.1409	120.6244	685.9156	205.4008	759.2924	55.4723	35.4383	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales
o_Pelagibacterales	0	0	736.3866	404.191	491.5862	978.2716	1152.288	2.6338	119.6019	0	1.9538	5.695	19.9085	768.0691	1.1388	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Pelagibacterales
o_Nitrospinales	13.402	0	1121.9178	953.1409	165.0194	561.9488	478.8072	24.6884	517.8763	49.8412	0	0	0	658.1136	0.5156	d_Bacteria;p_Nitrospinota;c_Nitrospinia;o_Nitrospinales
o_RF32	86.7235	423.6033	811.6128	511.995	79.7801	784.1019	232.7296	0	688.9318	40.9763	18.6096	8.3538	0	677.246	0.2543	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_RF32
o_Unclassified_p_Nitrospinota	0	0	962.0766	780.8235	41.7824	1216.9819	513.3013	0	212.1084	0	0	0	0	499.686	0	d_Bacteria;p_Nitrospinota;c_Unclassified_p_Nitrospinota;o_Unclassified_p_Nitrospinota
o_Humimicrobiales	37.3277	304.9219	683.813	361.7939	34.6873	794.5675	850.5661	104.5044	482.0774	35.4334	0	0	27.6282	426.2763	0.3118	d_Bacteria;p_Actinobacteriota;c_Humimicrobiia;o_Humimicrobiales
o_Paceibacterales	0	0	1141.7688	1038.0758	67.2154	685.77	547.8261	3.2538	58.1349	0	1.4314	0.5324	0	598.3826	0.3768	d_Bacteria;p_Patescibacteria;c_Paceibacteria;o_Paceibacterales
o_Nitrosococcales	14.7364	0	621.7238	664.9593	16.944	1424.5787	268.1465	7.4471	430.7158	0	0	27.4774	70.5819	514.4759	37.6088	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Nitrosococcales
o_Unclassified_c_Dehalococcoidia	0	0	388.8386	1040.5873	28.0409	1160.3376	416.6466	0	237.5239	0	2.1591	0	0	732.7131	0	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Unclassified_c_Dehalococcoidia
o_Unclassified_c_Campylobacteria	84.4156	0	71.001	4.9594	2522.051	17.5787	152.8585	33.5012	11.2267	1.3085	3.0513	45.6429	0	1043.8947	10.4763	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Unclassified_c_Campylobacteria
o_Desulfuromonadales	0	184.1759	595.0744	632.6052	271.8401	378.6166	1018.3774	7.951	183.5965	16.0516	0	0	0	620.6342	0	d_Bacteria;p_Desulfobacterota;c_Desulfuromonadia;o_Desulfuromonadales
o_Deinococcales	1511.197	22.3294	506.6607	461.9325	382.735	0	0	89.0226	310.2945	173.1448	1.0864	41.4742	49.3709	286.2502	53.1755	d_Bacteria;p_Deinococcota;c_Deinococci;o_Deinococcales
o_Steroidobacterales	0	0	1661.3416	1069.4217	0	1038.9851	0	0	77.29	0	0	25.8375	0	0	4.7155	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Steroidobacterales
o_PWTM01	0	0	765.4859	1130.7115	93.0848	753.1252	95.2965	0	393.7877	0	0	0	0	618.458	0	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae;o_PWTM01
o_Haliangiales	70.5687	346.9727	758.0383	351.8349	539.7376	578.9342	903.9009	0	47.5288	17.4989	3.0227	0	0	169.1741	0	d_Bacteria;p_Myxococcota;c_Polyangia;o_Haliangiales
o_AKYH767	15.0157	0	691.2469	183.8461	266.0098	414.4466	605.906	0	489.801	0	0	28.1006	0	1089.4704	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_AKYH767
