family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Unclassified_c_Bacilli	402.2693	216.3481	1273.7187	1130.6022	473.6777	1045.3902	910.9345	1881.2977	713.194	4224.8186	706.4321	3104.3624	5280.6359	987.9541	1074.1397	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli
f_Sedimenticolaceae	146.8731	137.668	4072.9987	4865.7835	1006.2551	4619.0783	2452.6219	0	1003.9105	35.7932	7.2245	2.4461	40.7333	3058.9143	1.3769	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Sedimenticolaceae
f_Campylobacteraceae	109.7839	10.4917	267.8	126.748	10757.2236	67.7693	283.2356	90.2597	21.8824	0	28.9555	179.0755	7.7918	6606.0564	50.8953	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Campylobacteraceae
f_DSM-18226	134.9135	519.5108	2024.6631	4742.2897	628.5759	869.7317	7646.2579	24.5748	216.8772	0	10.8908	0	174.6273	1213.3265	30.3575	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-18226
f_Aquificaceae	69.5706	85.6485	3054.5094	3590.7718	707.583	3550.6723	2995.9616	136.5744	913.0075	7.514	3.4512	0.6751	1.7038	3008.94	1.735	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales;f_Aquificaceae
f_Nocardioidaceae	2154.6684	1259.6499	886.2219	1410.2364	414.6172	707.3238	551.8573	118.7018	487.0534	295.0317	10.8094	6058.2449	236.3331	782.8049	1916.9695	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae
f_Unclassified_c_Bacteroidia	162.7562	797.6039	2140.4814	2354.3761	705.5286	2233.9833	1634.2708	230.8795	907.1945	132.8141	41.7074	2390.8601	133.5416	1510.194	145.4174	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia;f_Unclassified_c_Bacteroidia
f_Bacteriovoracaceae	175.6189	1036.0694	2795.5851	2656.8036	963.1123	2336.9472	1709.88	13.479	639.654	157.4619	0	2.07	36.0851	2540.7269	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales;f_Bacteriovoracaceae
f_Bacteroidaceae	225.4087	1228.4777	1695.0443	2787.0452	842.8568	2057.523	1431.9294	147.1181	1047.798	243.3117	413.7155	18.7386	167.3464	1862.6329	11.4137	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae
f_Moraxellaceae	754.4172	170.1079	1627.3048	1966.4158	624.2277	2054.3032	1629.3329	1036.1046	317.5277	90.1865	253.7699	660.7962	1265.0825	640.1908	637.6889	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae
