#ID	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.unclassified_Lactobacillaceae.unclassified_Lactobacillaceae	10	201	3242	100	6504	1793	22554	1795	53	189
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.Kocuria_sp014698015	5	13	2194	84	693	748	6646	708	0	7283
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.CCUG_7971.unclassified_CCUG_7971	0	7	1872	3	35	96	0	171	2	32274
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Pseudochrobactrum.Pseudochrobactrum_sp900470285	0	0	3	13	3	5	140	33	0	35661
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Oryzisolibacter.Oryzisolibacter_propanilivorax	1	1	4	18	5	9	34931	53	0	529
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Phenylobacterium.Phenylobacterium_sp001429025	0	0	5	4	7	5	35452	24	1	138
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.unclassified_Actinomycetaceae.unclassified_Actinomycetaceae	10	34	30	258	600	109	1147	1993	11	30025
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Luteimonas.Luteimonas_sp016615955	1	0	384	7	28	47	30814	61	0	1269
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Pulveribacter.unclassified_Pulveribacter	0	2	6	11	8	3	32248	39	0	474
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.Paracoccus_sphaerophysae	1	0	59	2	21	15	29328	94	0	1640
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_kristinae	10	28	1137	6462	4157	545	3024	508	28	10982
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Ochrobactrum_A.unclassified_Ochrobactrum_A	0	0	1	10	1	2	178	32	0	30959
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas.Stenotrophomonas_maltophilia_A	0	0	14	8	3	7	567	833	1	28726
