#ID	ADU	SEN
Organismal_Systems.Excretory_system.Endocrine_and_other_factor__regulated_calcium_reabsorption	37.525960000000005	11.32626
Organismal_Systems.Excretory_system.Vasopressin__regulated_water_reabsorption	15.7671	8.836319999999999
Organismal_Systems.Excretory_system.Proximal_tubule_bicarbonate_reclamation	86.53943999999998	64.80004
Organismal_Systems.Digestive_system.Salivary_secretion	29.71078	12.99148
Organismal_Systems.Digestive_system.Gastric_acid_secretion	14.85294	4.83
Organismal_Systems.Digestive_system.Pancreatic_secretion	35.13458000000001	11.232200000000002
Organismal_Systems.Digestive_system.Carbohydrate_digestion_and_absorption	13.259279999999999	12.49958
Organismal_Systems.Digestive_system.Protein_digestion_and_absorption	46.13348	17.77714
Organismal_Systems.Digestive_system.Fat_digestion_and_absorption	42.78228	44.509739999999994
Organismal_Systems.Digestive_system.Bile_secretion	14.927599999999998	7.016920000000001
Organismal_Systems.Digestive_system.Mineral_absorption	133.70116000000002	40.702059999999996
Organismal_Systems.Digestive_system.Cholesterol_metabolism	39.50814	10.88118
Human_Diseases.Neurodegenerative_disease.Alzheimer_disease	18.989120000000003	4.62376
Human_Diseases.Neurodegenerative_disease.Parkinson_disease	25.912259999999996	5.04748
Human_Diseases.Neurodegenerative_disease.Amyotrophic_lateral_sclerosis	14.896199999999999	5.6992
Human_Diseases.Neurodegenerative_disease.Huntington_disease	20.1528	10.40234
Human_Diseases.Neurodegenerative_disease.Spinocerebellar_ataxia	15.372939999999996	8.19846
Human_Diseases.Neurodegenerative_disease.Prion_disease	23.75478	8.42136
Human_Diseases.Neurodegenerative_disease.Pathways_of_neurodegeneration__multiple_diseases	14.59272	5.5215000000000005
Human_Diseases.Substance_dependence.Cocaine_addiction	12.358120000000001	6.61812
Human_Diseases.Infectious_disease_bacterial.Bacterial_invasion_of_epithelial_cells	16.65044	5.76912
Cellular_Processes.Cellular_community__prokaryotes.Biofilm_formation__Vibrio_cholerae	16.29184	96.4277
Human_Diseases.Infectious_disease_bacterial.Pathogenic_Escherichia_coli_infection	120.65194000000001	54.76906
Human_Diseases.Infectious_disease_bacterial.Salmonella_infection	17.89814	5.8598
Human_Diseases.Infectious_disease_bacterial.Pertussis	10.082139999999999	9.76008
Human_Diseases.Infectious_disease_bacterial.Legionellosis	26.13306	38.90169999999999
Human_Diseases.Infectious_disease_parasitic.Chagas_disease	16.292300000000004	4.08624
Human_Diseases.Infectious_disease_parasitic.Toxoplasmosis	17.18516	5.676959999999999
Human_Diseases.Infectious_disease_bacterial.Staphylococcus_aureus_infection	25.4606	13.7713
Human_Diseases.Infectious_disease_bacterial.Tuberculosis	21.88766	21.7662
Human_Diseases.Infectious_disease_viral.Hepatitis_C	26.534640000000003	10.50918
Human_Diseases.Infectious_disease_viral.Influenza_A	15.432220000000001	7.143179999999999
Human_Diseases.Infectious_disease_viral.Human_papillomavirus_infection	19.28852	8.0113
Human_Diseases.Infectious_disease_viral.Herpes_simplex_virus_1_infection	13.506699999999999	4.674200000000001
Human_Diseases.Infectious_disease_viral.Epstein__Barr_virus_infection	13.36048	3.9445
Human_Diseases.Infectious_disease_viral.Coronavirus_disease__COVID__19	13.605340000000002	4.79924
Human_Diseases.Cancer_overview.Pathways_in_cancer	12.01274	10.357920000000002
Human_Diseases.Cancer_overview.Viral_carcinogenesis	14.868620000000002	5.5954
Human_Diseases.Cancer_overview.Proteoglycans_in_cancer	18.94724	8.88792
Human_Diseases.Cancer_overview.Chemical_carcinogenesis__reactive_oxygen_species	22.736579999999996	6.4524799999999995
Human_Diseases.Cancer_specific_types.Prostate_cancer	9.81502	7.24644
Human_Diseases.Cancer_specific_types.Bladder_cancer	19.52024	6.27804
Human_Diseases.Cancer_specific_types.Small_cell_lung_cancer	14.363480000000001	10.22804
Human_Diseases.Cancer_specific_types.Hepatocellular_carcinoma	10.859820000000001	8.42296
Human_Diseases.Cancer_overview.Central_carbon_metabolism_in_cancer	144.51858	92.84804
Human_Diseases.Cancer_overview.Choline_metabolism_in_cancer	10.765160000000002	11.60018
Human_Diseases.Immune_disease.Primary_immunodeficiency	267.25884	103.8414
Human_Diseases.Cardiovascular_disease.Hypertrophic_cardiomyopathy	97.98552000000001	39.43824
Human_Diseases.Cardiovascular_disease.Arrhythmogenic_right_ventricular_cardiomyopathy	29.733159999999998	8.751100000000001
Human_Diseases.Cardiovascular_disease.Dilated_cardiomyopathy	89.26983999999999	35.386540000000004
Human_Diseases.Cardiovascular_disease.Diabetic_cardiomyopathy	38.17702	7.73612
Human_Diseases.Cardiovascular_disease.Viral_myocarditis	136.48536	55.44734
Human_Diseases.Cardiovascular_disease.Lipid_and_atherosclerosis	16.653699999999997	5.47708
Human_Diseases.Cardiovascular_disease.Fluid_shear_stress_and_atherosclerosis	29.58462	29.132659999999998
