#ID	first	second	third
Human_Diseases.Infectious_disease_bacterial.Staphylococcus_aureus_infection	L1__Human_Diseases	L2__Infectious_disease_bacterial	L3__Staphylococcus_aureus_infection
Human_Diseases.Infectious_disease_bacterial.Tuberculosis	L1__Human_Diseases	L2__Infectious_disease_bacterial	L3__Tuberculosis
Human_Diseases.Infectious_disease_viral.Hepatitis_C	L1__Human_Diseases	L2__Infectious_disease_viral	L3__Hepatitis_C
Human_Diseases.Infectious_disease_viral.Influenza_A	L1__Human_Diseases	L2__Infectious_disease_viral	L3__Influenza_A
Human_Diseases.Infectious_disease_viral.Human_papillomavirus_infection	L1__Human_Diseases	L2__Infectious_disease_viral	L3__Human_papillomavirus_infection
Human_Diseases.Infectious_disease_viral.Herpes_simplex_virus_1_infection	L1__Human_Diseases	L2__Infectious_disease_viral	L3__Herpes_simplex_virus_1_infection
Human_Diseases.Infectious_disease_viral.Epstein__Barr_virus_infection	L1__Human_Diseases	L2__Infectious_disease_viral	L3__Epstein__Barr_virus_infection
Human_Diseases.Infectious_disease_viral.Coronavirus_disease__COVID__19	L1__Human_Diseases	L2__Infectious_disease_viral	L3__Coronavirus_disease__COVID__19
Human_Diseases.Cancer_overview.Pathways_in_cancer	L1__Human_Diseases	L2__Cancer_overview	L3__Pathways_in_cancer
Human_Diseases.Cancer_overview.Viral_carcinogenesis	L1__Human_Diseases	L2__Cancer_overview	L3__Viral_carcinogenesis
Human_Diseases.Cancer_overview.Proteoglycans_in_cancer	L1__Human_Diseases	L2__Cancer_overview	L3__Proteoglycans_in_cancer
Human_Diseases.Cancer_overview.Chemical_carcinogenesis__reactive_oxygen_species	L1__Human_Diseases	L2__Cancer_overview	L3__Chemical_carcinogenesis__reactive_oxygen_species
Human_Diseases.Cancer_specific_types.Prostate_cancer	L1__Human_Diseases	L2__Cancer_specific_types	L3__Prostate_cancer
Human_Diseases.Cancer_specific_types.Bladder_cancer	L1__Human_Diseases	L2__Cancer_specific_types	L3__Bladder_cancer
Human_Diseases.Cancer_specific_types.Small_cell_lung_cancer	L1__Human_Diseases	L2__Cancer_specific_types	L3__Small_cell_lung_cancer
Human_Diseases.Cancer_specific_types.Hepatocellular_carcinoma	L1__Human_Diseases	L2__Cancer_specific_types	L3__Hepatocellular_carcinoma
Human_Diseases.Cancer_overview.Central_carbon_metabolism_in_cancer	L1__Human_Diseases	L2__Cancer_overview	L3__Central_carbon_metabolism_in_cancer
Human_Diseases.Cancer_overview.Choline_metabolism_in_cancer	L1__Human_Diseases	L2__Cancer_overview	L3__Choline_metabolism_in_cancer
Human_Diseases.Immune_disease.Primary_immunodeficiency	L1__Human_Diseases	L2__Immune_disease	L3__Primary_immunodeficiency
Human_Diseases.Cardiovascular_disease.Hypertrophic_cardiomyopathy	L1__Human_Diseases	L2__Cardiovascular_disease	L3__Hypertrophic_cardiomyopathy
Human_Diseases.Cardiovascular_disease.Arrhythmogenic_right_ventricular_cardiomyopathy	L1__Human_Diseases	L2__Cardiovascular_disease	L3__Arrhythmogenic_right_ventricular_cardiomyopathy
Human_Diseases.Cardiovascular_disease.Dilated_cardiomyopathy	L1__Human_Diseases	L2__Cardiovascular_disease	L3__Dilated_cardiomyopathy
Human_Diseases.Cardiovascular_disease.Diabetic_cardiomyopathy	L1__Human_Diseases	L2__Cardiovascular_disease	L3__Diabetic_cardiomyopathy
Human_Diseases.Cardiovascular_disease.Viral_myocarditis	L1__Human_Diseases	L2__Cardiovascular_disease	L3__Viral_myocarditis
Human_Diseases.Cardiovascular_disease.Lipid_and_atherosclerosis	L1__Human_Diseases	L2__Cardiovascular_disease	L3__Lipid_and_atherosclerosis
Human_Diseases.Cardiovascular_disease.Fluid_shear_stress_and_atherosclerosis	L1__Human_Diseases	L2__Cardiovascular_disease	L3__Fluid_shear_stress_and_atherosclerosis
